41,1,0.04,0.04
41,2,0.96,0.04
41,3,0.96,0.96
41,4,0.04,0.96
42,1,0.04,0.04
42,2,0.96,0.04
42,3,0.96,0.96
42,4,0.04,0.96
43,1,0.04,0.04
43,2,0.96,0.04
43,3,0.96,0.96
43,4,0.04,0.96
44,1,0.04,0.04
44,2,0.96,0.04
44,3,0.96,0.96
44,4,0.04,0.96
45,1,0.04,0.04
45,2,0.96,0.04
45,3,0.96,0.96
45,4,0.04,0.96
46,1,0.04,0.04
46,2,0.96,0.04
46,3,0.96,0.96
46,4,0.04,0.96
47,1,0.04,0.04
47,2,0.96,0.04
47,3,0.96,0.96
47,4,0.04,0.96
48,1,0.04,0.04
48,2,0.96,0.04
48,3,0.96,0.96
48,4,0.04,0.96
49,1,0.04,0.04
49,2,0.96,0.04
49,3,0.96,0.96
49,4,0.04,0.96
50,1,0.04,0.04
50,2,0.96,0.04
50,3,0.96,0.96
50,4,0.04,0.96
51,1,0.04,0.04
51,2,0.96,0.04
51,3,0.96,0.96
51,4,0.04,0.96
52,1,0.04,0.04
52,2,0.96,0.04
52,3,0.96,0.96
52,4,0.04,0.96
53,1,0.05,0.05
53,2,0.95,0.05
53,3,0.95,0.95
53,4,0.05,0.95
54,1,0.05,0.05
54,2,0.95,0.05
54,3,0.95,0.95
54,4,0.05,0.95
55,1,0.05,0.05
55,2,0.95,0.05
55,3,0.95,0.95
55,4,0.05,0.95
56,1,0.05,0.05
56,2,0.95,0.05
56,3,0.95,0.95
56,4,0.05,0.95
57,1,0.05,0.05
57,2,0.95,0.05
57,3,0.95,0.95
57,4,0.05,0.95
58,1,0.05,0.05
58,2,0.95,0.05
58,3,0.95,0.95
58,4,0.05,0.95
59,1,0.05,0.05
59,2,0.95,0.05
59,3,0.95,0.95
59,4,0.05,0.95
60,1,0.05,0.05
60,2,0.95,0.05
60,3,0.95,0.95
60,4,0.05,0.95
61,1,0.05,0.05
61,2,0.95,0.05
61,3,0.95,0.95
61,4,0.05,0.95
62,1,0.05,0.05
62,2,0.95,0.05
